inst_id,cell_type,major_axis_length,minor_axis_length,major_minor_ratio,orientation_degree,area,extent,solidity,convex_area,eccentricity,equivalent_diameter,perimeter,R_mean,R_std,R_min,R_max,G_mean,G_std,G_min,G_max,B_mean,B_std,B_min,B_max,contrast,homogeneity,dissimilarity,ASM,energy,correlation,heterogeneity
27,1,36.17824390582201,19.20346043667451,1.8839439915073475,79.09498855424762,520,0.6110458284371327,0.9285714285714286,560,0.8474962741726189,25.731003930322746,96.08326112068525,119.08846153846154,19.573919597320483,89,178,48.57884615384615,22.381945304010465,14,121,92.18846153846154,18.45282606921846,63,151,0,1,0,1,1,1,0
28,3,26.75124069881824,16.129796021457846,1.6584983879046231,49.560174015819534,331,0.6541501976284585,0.9538904899135446,347,0.7977751512655701,20.529059630371258,70.18376618407356,100.41389728096676,15.494302244107182,67,150,28.30211480362538,11.220905785427057,8,72,64.03021148036254,12.321437350580455,41,111,0,1,0,1,1,1,0
29,3,38.42048545843911,14.862486653439792,2.585064421204848,65.50980053503,431,0.5597402597402598,0.9410480349344978,458,0.9221478764853172,23.42576026046658,91.84062043356593,92.76566125290023,18.337726999911997,57,136,27.82366589327146,12.364776576480649,4,75,70.79118329466357,13.32993826138178,46,126,0,1,0,1,1,1,0
30,3,48.66413367141604,11.602465900174298,4.194292324589808,76.29626691728814,422,0.5396419437340153,0.9213973799126638,458,0.9711623266350704,23.179885415554555,105.59797974644667,103.87914691943128,11.29723747770683,83,141,28.582938388625593,9.606795229868341,13,59,61.481042654028435,9.636933832895318,44,92,0,1,0,1,1,1,0
31,1,30.3475037653893,23.078570160848695,1.3149646426914212,92.69196059182886,540,0.8095952023988006,0.967741935483871,558,0.6493651949987547,26.221162334209897,86.52691193458118,137.1888888888889,21.407628154699356,82,182,60.67962962962963,21.019901325046167,11,114,102.94074074074074,23.54735589873465,49,161,0,1,0,1,1,1,0
32,1,36.13961557936217,19.85278557143741,1.8203800897017164,97.70782382778216,544,0.7195767195767195,0.9611307420494699,566,0.8356016696966264,26.318098569918163,93.01219330881975,84.05514705882354,19.845466662116998,49,138,22.613970588235293,12.719899144035264,1,59,58.57720588235294,17.76608412492981,30,105,0,1,0,1,1,1,0
33,3,32.02420281672298,19.518356334764633,1.6407223163399203,77.12782666367909,472,0.7023809523809523,0.9421157684630739,501,0.7927955576579876,24.514670406003766,87.73401871576773,80.79237288135593,20.90665556495842,48,138,23.328389830508474,9.390549204200292,9,59,61.690677966101696,11.382118650062068,42,106,0,1,0,1,1,1,0
34,3,40.252666534174544,19.8020240985014,2.0327551534098394,84.2062548294181,623,0.7987179487179488,0.9643962848297214,646,0.8706273165181974,28.16430784468183,99.35533905932736,128.3290529695024,13.901022754228073,89,169,49.11556982343499,12.392178899189712,16,91,92.79935794542536,13.025220611545096,64,132,0,1,0,1,1,1,0
35,3,47.975384074807984,17.07380868028954,2.8098817887184153,70.00016283608457,628,0.5567375886524822,0.9373134328358209,670,0.9345290496240667,28.277100878514442,113.98275605729688,105.35828025477707,18.583877118680633,74,161,42.210191082802545,16.399387066040955,18,109,80.61146496815287,14.843192988998203,59,140,0,1,0,1,1,1,0
36,1,31.275226174655167,6.071809199570483,5.150890804814414,87.98742984033676,135,0.6617647058823529,0.9183673469387755,147,0.9809735998755295,13.110581167104948,63.72792206135786,122.58518518518518,9.887804074219455,106,150,48.18518518518518,9.774634736140564,31,74,99.31111111111112,8.822921886613525,79,120,0,1,0,1,1,1,0
37,1,21.981607967813872,14.36664067538273,1.5300450860081303,68.46456606289786,235,0.6010230179028133,0.8834586466165414,266,0.7568613152461906,17.297725082009,70.25483399593904,100.20851063829787,14.670100288091175,76,141,28.812765957446807,13.724610865642392,10,79,66.46382978723405,14.647989122494929,46,115,0,1,0,1,1,1,0
